trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_stimulus_path,novel_stimulus_path,familiar_location_1,familiar_location_2,left_image_path_1,right_image_path_1,left_image_path_2,right_image_path_2,test_time_1,test_time_2,familiarization_time_timeout,lab,fribble_shuffle_seed,fractal_shuffle_seed,seed_group,fribble_set,test_familiar_location_order,trial_type
1,Gumdrop_Complex,Bowl_Complex,Gumdrop,Bowl,complex,15,stimuli/images/Gumdrop_Complex.png,stimuli/images/Bowl_Complex.png,right,left,stimuli/images/Bowl_Complex.png,stimuli/images/Gumdrop_Complex.png,stimuli/images/Gumdrop_Complex.png,stimuli/images/Bowl_Complex.png,5,5,30,lab6,12,13,2,set_1,loc_order_2,fribble
2,Cylinder_Simple,SimsDiamond_Simple,Cylinder,SimsDiamond,simple,5,stimuli/images/Cylinder_Simple.png,stimuli/images/SimsDiamond_Simple.png,left,right,stimuli/images/Cylinder_Simple.png,stimuli/images/SimsDiamond_Simple.png,stimuli/images/SimsDiamond_Simple.png,stimuli/images/Cylinder_Simple.png,5,5,10,lab6,12,13,2,set_1,loc_order_2,fribble
3,Diamond_Simple,Tripod_Simple,Diamond,Tripod,simple,15,stimuli/images/Diamond_Simple.png,stimuli/images/Tripod_Simple.png,left,right,stimuli/images/Diamond_Simple.png,stimuli/images/Tripod_Simple.png,stimuli/images/Tripod_Simple.png,stimuli/images/Diamond_Simple.png,5,5,30,lab6,12,13,2,set_1,loc_order_2,fribble
4,Pumpkin_Complex,Crinkle_Complex,Pumpkin,Crinkle,complex,5,stimuli/images/Pumpkin_Complex.png,stimuli/images/Crinkle_Complex.png,right,left,stimuli/images/Crinkle_Complex.png,stimuli/images/Pumpkin_Complex.png,stimuli/images/Pumpkin_Complex.png,stimuli/images/Crinkle_Complex.png,5,5,10,lab6,12,13,2,set_1,loc_order_2,fribble
5,Bowtie_Simple,Pyramid_Simple,Bowtie,Pyramid,simple,10,stimuli/images/Bowtie_Simple.png,stimuli/images/Pyramid_Simple.png,right,left,stimuli/images/Pyramid_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Pyramid_Simple.png,5,5,20,lab6,12,13,2,set_1,loc_order_2,fribble
6,Arrow_Complex,Pacman_Complex,Arrow,Pacman,complex,10,stimuli/images/Arrow_Complex.png,stimuli/images/Pacman_Complex.png,left,right,stimuli/images/Arrow_Complex.png,stimuli/images/Pacman_Complex.png,stimuli/images/Pacman_Complex.png,stimuli/images/Arrow_Complex.png,5,5,20,lab6,12,13,2,set_1,loc_order_2,fribble
7,Frac4B_Complex,Frac4A_Complex,4B,4A,complex,5,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4A_Complex.png,right,left,stimuli/images/Frac4A_Complex.png,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4B_Complex.png,stimuli/images/Frac4A_Complex.png,5,5,10,lab6,12,13,2,set_1,loc_order_2,fractal
8,Frac1B_Simple,Frac1A_Simple,1B,1A,simple,10,stimuli/images/Frac1B_Simple.png,stimuli/images/Frac1A_Simple.png,left,right,stimuli/images/Frac1B_Simple.png,stimuli/images/Frac1A_Simple.png,stimuli/images/Frac1A_Simple.png,stimuli/images/Frac1B_Simple.png,5,5,20,lab6,12,13,2,set_1,loc_order_2,fractal
9,Frac5B_Simple,Frac5A_Simple,5B,5A,simple,15,stimuli/images/Frac5B_Simple.png,stimuli/images/Frac5A_Simple.png,right,left,stimuli/images/Frac5A_Simple.png,stimuli/images/Frac5B_Simple.png,stimuli/images/Frac5B_Simple.png,stimuli/images/Frac5A_Simple.png,5,5,30,lab6,12,13,2,set_1,loc_order_2,fractal
10,Frac2B_Complex,Frac2A_Complex,2B,2A,complex,5,stimuli/images/Frac2B_Complex.png,stimuli/images/Frac2A_Complex.png,right,left,stimuli/images/Frac2A_Complex.png,stimuli/images/Frac2B_Complex.png,stimuli/images/Frac2B_Complex.png,stimuli/images/Frac2A_Complex.png,5,5,10,lab6,12,13,2,set_1,loc_order_2,fractal
11,Frac6B_Complex,Frac6A_Complex,6B,6A,complex,10,stimuli/images/Frac6B_Complex.png,stimuli/images/Frac6A_Complex.png,left,right,stimuli/images/Frac6B_Complex.png,stimuli/images/Frac6A_Complex.png,stimuli/images/Frac6A_Complex.png,stimuli/images/Frac6B_Complex.png,5,5,20,lab6,12,13,2,set_1,loc_order_2,fractal
12,Frac3B_Simple,Frac3A_Simple,3B,3A,simple,15,stimuli/images/Frac3B_Simple.png,stimuli/images/Frac3A_Simple.png,left,right,stimuli/images/Frac3B_Simple.png,stimuli/images/Frac3A_Simple.png,stimuli/images/Frac3A_Simple.png,stimuli/images/Frac3B_Simple.png,5,5,30,lab6,12,13,2,set_1,loc_order_2,fractal
